Nombre común |Nombre Ingles |Nombre científico |Clase|Orden |Familia|Golfo de México|Mar Caribe|Pacífico |Fuera del país |Grupo |Nacional/Importado |Objetivo |incidental |Deportiva |Fomento |Cultivada|Cartel |Tríptico |Tallas de captura (cm)|Tipo de captura (Selectiva, No selectiva |Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades |Distribución |Cultivada / capturada|Comercio|País de importación |Carta Nacional Pesquera (2012) Pacífico zona 1|Carta Nacional Pesquera (2012) Pacífico zona 2|Carta Nacional Pesquera (2012) Pacífico zona 3 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 1 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 2 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 3 |Estado según Arreguín et al. Litoral Oriental del Golfo de California |Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec |Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche
Tiburón espinoso|Prickly Shark|Echinorhinus cookei |Chondrichthyes|Squaliformes|Echinorhinidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|||100-400|Selectiva|Palangre para la pesca de tiburones pelágicos del Pacífico.|Casi amenazada|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos oceánicos y costeros. Vive cerca de islas y mar adentro. Se alimenta de pequeños tiburones, peces y calamares.|Se distribuye en el Pacífico Oriental, desde Baja California a Perú. |Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Guabina de río||Eleotris pisonis|Peces óseos|Perciformes|Eleotridae|1|0|0|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Macabi||Elops affinis|Peces óseos|Elopiformes|Elopidae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Macabi||Elops saurus|Peces óseos|Elopiformes|Elopidae|1|0|0|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Anchoa legítima||Anchoa hepsetus|Peces óseos|Clupeiformes|Engraulidae|1|1|0|0|Anchovetas ||0|1|0|0|0||||||||||||||||||||||||||
Anchoveta ||Anchoa ischana|Peces óseos|Clupeiformes|Engraulidae|0|0|1|0|Anchovetas ||0|1|0|0|0||||||||||||||||||||||||||
Anchoa ojuda||Anchoa lamprotaenia|Peces óseos|Clupeiformes|Engraulidae|1|1|0|0|Anchovetas ||0|1|0|0|0||||||||||||||||||||||||||
Anchoa caleta||Anchoa mitchilli|Peces óseos|Clupeiformes|Engraulidae|1|1|0|0|Anchovetas ||0|1|0|0|0||||||||||||||||||||||||||
Anchoa ojuda||Cetengraulis edentulus|Peces óseos|Clupeiformes|Engraulidae|1|1|0|0|Anchovetas ||0|1|0|0|0||||||||||||||||||||||||||
Sardina bocona||Cetengraulis mysticetus|Peces óseos|Clupeiformes|Engraulidae|0|0|1|0|Anchovetas ||1|0|0|0|0||||||||||||||||||||||Sin datos|Sin datos|Sin datos||
Anchoveta ||Engraulis mordax|Peces óseos|Clupeiformes|Engraulidae|0|0|1|0|Anchovetas ||1|0|0|0|0||||||||||||||||||||||Sin datos|Sin datos|Sin datos||
Zopilote||Chaetodipterus zonatus|Peces óseos|Perciformes|Ephippidae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Trompeta ||Fistularia commersonii|Peces óseos|Syngnathiformes|Fistulariidae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Bacalao del Pacífico|Pacific Cod|Gadus macrocephalus|Actinopterygii|Gadiformes|Gadidae|0|0|0|0|Peces importados |Importado |0|0|0|0|0|||20-100|No selectiva|Redes de arrastre de fondo, redes de arrastre pelágico, redes de enmalle, palangre, redes de cerco. ||||||Especie marina de amplia distribución desde la plataforma continental hasta las costas. Se alimenta copépodos y otros crustáceos.|Se distribuye en el Pacífico Norte, Desde California, Estrecho de Bering y Japón. |Capturada|Congelado, ahumado, salado. |España, Estados Unidos. |||||||||||
Bacalao del Atlántico|Atlantic Cod|Gadus morhua|Actinopterygii|Gadiformes|Gadidae|0|0|0|0|Peces importados |Importado |0|0|0|0|0|||100-200|No selectiva|Redes de arrastre de fondo, redes de arrastre pelágicol, redes de enmalle, palangre, redes de cerco. |Vulnerable|||||Especie marina de amplia distribución desde la plataforma continental hasta las costas. Se alimenta copépodos y otros crustáceos.|Se distribuye en el Atlántico Norte. |Capturada|Congelado, ahumado, salado. |España, Estados Unidos. |||||||||||
Bacalao de Groenlandia |Greenland Cod|Gadus ogac|Actinopterygii|Gadiformes|Gadidae|0|0|0|0|Peces importados |Importado |0|0|0|0|0|||50-80|No selectiva|Redes de arrastre de fondo, redes de arrastre pelágicol, redes de enmalle, palangre, redes de cerco. ||||||Especie marina de amplia distribución desde la plataforma continental hasta las costas. Se alimenta copépodos y otros crustáceos.|Se distribuye en todo el Ártico. |Capturada|Congelado, ahumado, salado. |España, Estados Unidos. |||||||||||
Mojarra plateada ||Diapterus argentus|Peces óseos|Perciformes|Gerreidae|1|0|0|0|Mojarras ||0|1|0|0|0||||||||||||||||||||||||||
Mojarra blanca/Mojarra gaucha|Irish Pompano|Diapterus auratus|Actinopterygii|Perciformes|Gerreidae|1|0|0|0|Mojarras |Nacional|1|0|0|0|0|Cartel |Tríptico  |20-34|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa.||||||Especie marina de aguas poco profundas. Vive en las bocas de los ríos y en las lagunas costeras principalmente manglares y praderas de pastos marinos. Se alimenta de pequeños invertebrados bentónicos.|Se distribuye en el Atlántico occidental, desde Carolina del Norte hasta Brasil.|Capturada|Se utiliza la carne. |||||Desconocida|Desconocida|Desconocida|||||
Mojarra palometa|Golden Mojarra|Diapterus aureolus|Actinopterygii|Perciformes|Gerreidae|0|0|1|0|Mojarras |Nacional|1|0|0|0|0|Cartel |Tríptico  |15-40|No selectiva|Red agallera para escama pelágica, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros y de bajas profundidades. Vive en fondos arenosos y fangosos. Se alimenta de partículas del sustrato.|Se distribuye en el Pacífico Oriental, desde el Golfo de California a Perú.|Capturada|Se utiliza la carne. |||||Sin datos|Sin datos|Sin datos|||||
Mojarra aletas amarillas|Peruvian Mojarra|Diapterus peruvianus|Actinopterygii|Perciformes|Gerreidae|0|0|1|0|Mojarras |Nacional|1|0|0|0|0|Cartel |Tríptico  |15-30|No selectiva|Red agallera para escama pelágica, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros y de bajas profundidades. Vive en manglares y fondos arenosos y fangosos. Se alimenta de partículas del sustrato.|Se distribuye en el Pacífico Oriental, desde Baja California a Perú.|Capturada|Se utiliza la carne. |||||Sin datos|Sin datos|Sin datos|máximo aprovechable|máximo aprovechable|máximo aprovechable||
Mojarra plateada ||Eucinostomus argenteus|Peces óseos|Perciformes|Gerreidae|1|0|0|0|Mojarras ||0|1|0|0|0||||||||||||||||||||||máximo aprovechable|máximo aprovechable|máximo aprovechable||
Mojarra tricolor||Eucinostomus currani|Peces óseos|Perciformes|Gerreidae|0|0|1|0|Mojarras ||0|1|0|0|0||||||||||||||||||||||máximo aprovechable|máximo aprovechable|máximo aprovechable||
Mojarra cantileña||Eucinostomus dowii|Peces óseos|Perciformes|Gerreidae|0|0|1|0|Mojarras ||0|1|0|0|0||||||||||||||||||||||||||
Mojarra charrita||Eucinostomus gracilis|Peces óseos|Perciformes|Gerreidae|0|0|1|0|Mojarras ||0|1|0|0|0||||||||||||||||||||||máximo aprovechable|máximo aprovechable|máximo aprovechable||
Mojarra de río||Eucinostomus gula|Peces óseos|Perciformes|Gerreidae|1|0|0|0|Mojarras ||0|1|0|0|0||||||||||||||||||||||||||
Mojarra mancha negra|Darkspot Mojarra|Eucinostomus entomelas|Peces óseos|Perciformes|Gerreidae|0|0|1|0|Mojarras ||0|1|0|0|0||||||||||||||||||||||máximo aprovechable|máximo aprovechable|máximo aprovechable||
Mojarra rayada| Striped Mojarra|Eugerres plumieri|Actinopterygii|Perciformes|Gerreidae|1|0|0|0|Mojarras |Nacional|1|0|0|0|0|Cartel |Tríptico  |18-40|No selectiva|Chinchorro playero, red agallera para esteros y línea de costa.||||||Especie marina de aguas poco profundas. Vive en fondos fangosos, bocas de los ríos y lagunas costeras que presentan bosques de manglar. Se alimenta de insectos acuáticos, crustáceos, moluscos y detritus.|Se distribuye en el Atlántico occidental, desde Carolina del Sur a Brasil.|Capturada|Se utiliza la carne. |||||Desconocida|Desconocida|Desconocida|||||
Mojarra malacapa|Black Axillary|Eugerres axillaris|Peces óseos|Perciformes|Gerreidae|0|0|1|0|Mojarras ||0|1|0|0|0||||||||||||||||||||||máximo aprovechable|máximo aprovechable|máximo aprovechable||
Mojarra aleta corta|Shortfin Mojarra|Eugerres brevimanus|Peces óseos|Perciformes|Gerreidae|0|0|1|0|Mojarras ||0|1|0|0|0||||||||||||||||||||||máximo aprovechable|máximo aprovechable|máximo aprovechable||
Mojarra china|Streaked Mojarra|Eugerres lineatus|Peces óseos|Perciformes|Gerreidae|0|0|1|0|Mojarras ||0|1|0|0|0||||||||||||||||||||||máximo aprovechable|máximo aprovechable|máximo aprovechable||
Mojarra bandera ||Gerres cinereus|Peces óseos|Perciformes|Gerreidae|0|0|1|0|Mojarras ||0|1|0|0|0||||||||||||||||||||||máximo aprovechable|máximo aprovechable|máximo aprovechable||
Mojarrita||Eucinostomus lefroyi|Peces óseos|Perciformes|Gerreidae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Tiburón gata||Ginglymostoma cirratum|Tiburones |Orectolobiformes|Ginglymostomatidae|1|1|1|0|Tiburones||1|0|0|0|0||||||||||||||||||||||||||
Raya de papel||Gymnura altavela|Rayas y similares |Rajiformes|Gymnuridae|1|0|0|0|Rayas y similares ||0|1|0|0|0||||||Vulnerable||||||||||||||||||||
Raya mariposa |Longsnout Butterfly Ray|Gymnura crebripunctata|Chondrichthyes|Rajiformes|Gymnuridae|0|0|1|0|Rayas y similares |Nacional|1|0|0|0|0|||20-30|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.||||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.|Especie marina de aguas costeras. Vive en estuarios y lagunas costeras. Se alimenta de pequeños invertebrados. |Se distribuye en el Pacífico Oriental, desde Baja California a Panamá.  |Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Raya mariposa |California Butterfly Ray|Gymnura marmorata|Chondrichthyes|Rajiformes|Gymnuridae|0|0|1|0|Rayas y similares |Nacional|1|0|0|0|0|||30-100|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.||||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.|Especie marina de aguas costeras. Vive en estuarios y lagunas costeras. Se alimenta de pequeños invertebrados. |Se distribuye en el Pacífico Oriental, desde Baja California a Perú. |Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Raya mariposa |Smooth Butterfly Ray|Gymnura micrura|Chondrichthyes|Rajiformes|Gymnuridae|1|0|0|0|Rayas y similares |Nacional|1|0|0|0|0|Cartel |Tríptico  |90-137|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores.||||||Especie marina y costera. Vive en fondos lodosos y fangosos y en estuarios. Se alimenta de peces y crustáceos.|Especie de amplia distribución se encuentra en el Atlántico occidental y oriental.|Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||
Burro bacoco||Anisotremus interruptus|Peces óseos|Perciformes|Haemulidae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||Sin datos|Sin datos|Sin datos||
Barriquete||Anisotremus surinamensis|Peces óseos|Perciformes|Haemulidae|1|0|0|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Burro rasposo ||Haemulon maculicauda|Peces óseos|Perciformes|Haemulidae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||Sin datos|Sin datos|Sin datos||
Boquilla ||Haemulon plumieri|Peces óseos|Perciformes|Haemulidae|1|1|0|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Burro almejero||Haemulon sexfasciatum|Peces óseos|Perciformes|Haemulidae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||Sin datos|Sin datos|Sin datos||
Burrito corcovado||Orthopristis chalceus|Peces óseos|Perciformes|Haemulidae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Armado ||Orthopristis chrysoptera|Peces óseos|Perciformes|Haemulidae|1|0|0|0|Otros||1|0|0|0|0||||||||||||||||||||||||||
Burro croco||Pomadasys crocro|Peces óseos|Perciformes|Haemulidae|1|1|0|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Chula||Xenichthys xanti|Peces óseos|Perciformes|Haemulidae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Ronco||Conodon nobilis|Peces óseos|Perciformes|Haemulidae|1|0|0|0|Ronco||0|1|0|0|0||||||||||||||||||||||||||
Ronco jeniguaro ||Haemulon aurolineatum|Peces óseos|Perciformes|Haemulidae|1|1|0|0|Ronco||1|0|0|0|0||||||||||||||||||||||||||
Ronco prieto||Haemulon bonariense|Peces óseos|Perciformes|Haemulidae|1|1|0|0|Ronco||1|0|0|0|0||||||||||||||||||||||||||
Ronco chano ||Haemulon flaviguttatum|Peces óseos|Perciformes|Haemulidae|0|0|1|0|Ronco||0|1|0|0|0||||||||||||||||||||||||||
Ronco condenado |French Grunt|Haemulon flavolineatum|Actinopterygii|Perciformes|Haemulidae|1|1|0|0|Ronco|Nacional|1|0|0|0|0|Cartel |Tríptico  |17-30|Selectiva|Línea de mano para peces pelágicos y demersales. ||||||Especie marina de aguas poco profundas. Vive en zonas arrecifales y los juveniles  en praderas de pastos marinos. Se alimenta de pequeños crustáceos.|Se distribuye en el Atlántico occidental, desde Carolina del Sur a América Central.|Capturada|Se utiliza la carne. |||||Desconocida|Desconocida|Desconocida|||||
Ronco carité||Haemulon sciurus |Peces óseos|Perciformes|Haemulidae|1|1|0|0|Ronco||1|0|0|0|0||||||||||||||||||||||||||
Ronco roncacho||Haemulopsis leuciscus|Peces óseos|Perciformes|Haemulidae|0|0|1|0|Ronco||0|1|0|0|0||||||||||||||||||||||||||
Ronco rayado||Microlepidotus brevipinnis|Peces óseos|Perciformes|Haemulidae|0|0|1|0|Ronco||0|1|0|0|0||||||||||||||||||||||||||
Ronco rayadito||Microlepidotus inornatus|Peces óseos|Perciformes|Haemulidae|0|0|1|0|Ronco||0|1|0|0|0||||||||||||||||||||||||||
Burrito ||Orthopristis reddingi|Peces óseos|Perciformes|Haemulidae|0|0|1|0|Ronco||0|1|0|0|0||||||||||||||||||||||||||
Roncacho gordo|Longspine grunt|Pomadasys macracanthus|Peces óseos|Perciformes|Haemulidae|0|0|1|0|Ronco||0|1|0|0|0||||||||||||||||||||||Sin datos|Sin datos|Sin datos||
Ronco mapache||Pomadasys panamensis|Peces óseos|Perciformes|Haemulidae|0|0|1|0|Ronco||0|1|0|0|0||||||||||||||||||||||||||
Ronco boquichica|Smallmouth Grunt|Haemulon chrysargyreum |Actinopterygii|Perciformes|Haemulidae|1|1|0|0|Ronco|Nacional|1|0|0|0|0|Cartel |Tríptico  |17-23|Selectiva|Línea de mano para peces pelágicos y demersales. ||||||Especie marina de aguas poco profundas. Vive en zonas arrecifales. Los juveniles viven en praderas de pastos marinos. Se alimenta de pequeños invertebrados.|Se distribuye en el Atlántico occidental, desde el sur de Florida hasta Brasil.|Capturada|Se utiliza la carne. |||||Desconocida|Desconocida|Desconocida|||||
Burro||Haemulon macrostomum|Peces óseos|Perciformes|Haemulidae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Lingcod ||Ophiodon elongatus |Peces óseos|Scorpaeniformes|Hexagrammidae|0|0|1|0|||0|1|0|0|0||||||||||||||||||||||||||
Pez vela||Istiophorus albicans|Peces óseos|Perciformes|Istiophoridae|1|1|0|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Pez vela|Sailfish|Istiophorus platypterus|Actinopterygii|Perciformes|Istiophoridae|0|0|1|0|Peces vela|Nacional|0|0|1|0|0|||170-200|Selectiva|Pesca con caña. ||||Permanente  (solo pesca deportiva)|Todo el año |Especie marina de hábitos oceánicos, vive cerca de la costa e islas. Se alimenta de peces pequeños, crustáceos y cefalópodos.   |Se distribuye todo el Pacífico. |Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Marlín negro|Black Marlin|Makaira indica|Actinopterygii|Perciformes|Istiophoridae|0|0|1|0|Marlíns |Nacional|0|0|1|0|0|||180-210|Selectiva|Pesca con caña. ||||Permanente  (solo pesca deportiva)|Todo el año |Especie marina de hábitos oceánicos, vive cerca de la costa e islas. Se alimenta de peces pequeños, crustáceos y cefalópodos.   |Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Marlin azul del Pacífico||Makaira mazara|Peces óseos|Perciformes|Istiophoridae|0|0|1|0|Marlíns ||0|0|1|0|0||||||||||||||||||||||||||
Aguja corta|Shortbill Spearfish|Tetrapturus angustirostris  |Actinopterygii|Perciformes|Istiophoridae|0|0|1|0|Marlíns |Nacional|0|0|1|0|0|||150-190|Selectiva|Pesca con caña.||||Permanente  (solo pesca deportiva)|Todo el año |Especie marina de hábitos oceánicos, vive cerca de la costa e islas. Se alimenta de peces pequeños, crustáceos y cefalópodos.   |Se distribuyeen todo el Pacífico. |Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Marlín rayado|Striped Marlin|Tetrapturus audax |Actinopterygii|Perciformes|Istiophoridae|0|0|1|0|Marlíns |Nacional|0|0|1|0|0|||150-290|Selectiva|Pesca con caña.|Casi amenazada|||Permanente  (solo pesca deportiva)|Todo el año |Especie marina de hábitos oceánicos, vive cerca de la costa e islas. Se alimenta de peces pequeños, crustáceos y cefalópodos.   |Se distribuyeen todo el Pacífico. |Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Marlín azul del Atlántico|Blue Marlin|Makaira nigricans|Actinopterygii|Perciformes|Istiophoridae|1|0|0|0|Marlíns |Nacional|0|0|1|0|0|||150-300|Selectiva|Pesca con caña.|Vulnerable|||Permanente  (solo pesca deportiva)|Todo el año |Especie marina de hábitos oceánicos. Se alimenta de pulpos, calamares y peces.    |Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne. |||||Sin datos|Sin datos|Sin datos|||||
Marlín blanco|White Marlin|Tetrapturus albidus|Actinopterygii|Perciformes|Istiophoridae|1|0|0|0|Marlíns |Nacional|0|0|1|0|0|||150-300|Selectiva|Pesca con caña.|Vulnerable|||Permanente  (solo pesca deportiva)|Todo el año |Especie marina de hábitos oceánicos. Se alimenta de pulpos, calamares y peces.    |Se distribuye en el Atlántico occidental, desde el sur de Florida hasta Brasil.|Capturada|Se utiliza la carne. |||||Sin datos|Sin datos|Sin datos|||||
Chopa rayada||Kyphosus analogus|Peces óseos|Perciformes|Kyphosidae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||Sin datos|Sin datos|Sin datos||
Chopa de Cortés||Kyphosus elegans|Peces óseos|Perciformes|Kyphosidae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||Sin datos|Sin datos|Sin datos||
Chopa amarilla||Kyphosus incisor|Peces óseos|Perciformes|Kyphosidae|1|1|0|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Chopa negra||Kyphosus sectatrix|Peces óseos|Perciformes|Kyphosidae|1|1|0|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Chopa salema||Sectator ocyurus|Peces óseos|Perciformes|Kyphosidae|0|0|1|0|Otros||1|0|0|0|0||||||||||||||||||||||||||
Chopa bonita|Zebra Perch Sea Chub|Hermosilla azurea |Peces óseos|Perciformes|Kyphosidae|0|0|1|0|||0|1|0|0|0||||||||||||||||||||||Sin datos|Sin datos|Sin datos||
Vieja mexicana||Bodianus diplotaenia|Peces óseos|Perciformes|Labridae|0|0|1|0|Otros||0|1|0|0|0||||||||||||||||||||||||||
Boquinete||Lachnolaimus maximus|Peces óseos|Perciformes|Labridae|1|1|0|0|Otros||0|1|0|0|0||||||Vulnerable||||||||||||||||||||
Vieja californiana||Semicossyphus pulcher|Peces óseos|Perciformes|Labridae|0|0|1|0|Otros||0|1|0|0|0||||||Vulnerable||||||||||||||||||||
Vieja lomo negro||Bodianus pulchellus|Peces óseos|Perciformes|Labridae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Vieja española||Bodianus rufus |Peces óseos|Perciformes|Labridae|1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Tiburón mako|Shortfin Mako|Isurus oxyrinchus|Chondrichthyes|Lamniformes|Lamnidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|Cartel |Tríptico  |275-400|Selectiva|Palangre para la pesca de tiburones pelágicos del Pacífico.|Vulnerable|||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos oceánicos y costeros. Vive en mares tropicales y de aguas templado –cálidas. Se alimenta de peces y pequeños tiburones.|Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Chopa||Lobotes surinamensis|Peces óseos|Perciformes|Lobotidae |1|1|0|0|||0|1|0|0|0||||||||||||||||||||||||||
Besugo |Vermilion Snapper|Rhomboplites aurorubens|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Besugo |Nacional|1|0|0|0|0|Cartel |Tríptico  |20-60|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de aguas moderadamente profundas. Vive en zonas rocosas o de arena. Se alimenta de peces, crustáceos, gusanos y moluscos. |Se distribuye en el Atlántico occidental, desde Carolina del Norte en Estados Unidos hasta Brasil.|Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible/ Deterioro|Deterioro |Máximo aprovechamiento permisible|Sin datos|Sin datos|subdesarrollada||
Huachinango seda ||Etelis oculatus|Peces óseos|Perciformes|Lutjanidae|1|1|0|0|Huachinangos||1|0|0|0|0||||||permisible||||||||||||||||||||
Huachinando aleta negra ||Lutjanus buccanella|Peces óseos|Perciformes|Lutjanidae|1|1|0|0|Huachinangos||1|0|0|0|0||||||||||||||||||||||||||
Huachinango del Golfo|Red Snapper|Lutjanus campechanus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Huachinangos|Nacional|1|1|0|0|0|Cartel |Tríptico  |25-100|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina que vive en fondos rocosos. Los juveniles viven a poca profundidad y en fondos arenosos y fangosos. Se alimenta de crustáceos, moluscos, poliquetos y peces. |Se distribuye en el Atlántico occidental, desde Massachusetts hasta el Golfo de México y Caribe.|Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible/ Deterioro|Deterioro |Máximo aprovechamiento permisible|||||
Huachinango del Pacífico|Pacific Red Snapper|Lutjanus peru|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Huachinangos|Nacional|1|0|0|0|0|Cartel |Tríptico  |50-95|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en fondos rocosos y arrecifales. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Huachinango ojo amarillo|Silk Snapper|Lutjanus vivanus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Huachinangos|Nacional|1|0|0|0|0|Cartel |Tríptico  |50-83|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de aguas profundas. Se alimenta de peces, crustáceos, moluscos y otros invertebrados.|Se distribuye en el Atlántico occidental, desde Carolina del Norte en Estados Unidos hasta Brasil.|Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible/ Deterioro|Deterioro |Máximo aprovechamiento permisible|||||
Cubera ||Lutjanus cyanopterus|Peces óseos|Perciformes|Lutjanidae|1|1|0|0|Otros||1|0|0|0|0||||||Vulnerable||||||||||||||||||||
Pargo coconaco| Barred Pargo|Hoplopagrus guentherii|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|Cartel |Tríptico  |50-90|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en arrecifes rocosos y de coral. Se alimenta de peces e invertebrados. |Se distribuye en el Pacífico Oriental, desde Baja California a Ecuador.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
Pargo criollo|Mutton Snapper|Lutjanus analis|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Pargos|Nacional|1|1|0|0|0|Cartel |Tríptico  |52-94|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.|Vulnerable|||||Especie marina que vive asociada a arrecifes rocosos y coralinos. Los juveniles viven en praderas de pastos marinos. Se alimenta de peces, crustáceos y moluscos.|Se distribuye en el Atlántico occidental, desde Massachusetts hasta Brasil. |Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible/ Deterioro|Deterioro |Máximo aprovechamiento permisible|||||
Pargo canchix|Schoolmaster|Lutjanus apodus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Pargos|Nacional|1|0|0|0|0|Cartel |Tríptico  |26-67|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de aguas poco profundas. Los adultos viven en zonas arrecifales y los juveniles en praderas de pastos marinos. Su alimentación consta de crustáceos, moluscos, gusanos y peces.|Se distribuye en el Atlántico occidental, desde Massachusetts hasta Brasil. |Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible/ Deterioro|Deterioro |Máximo aprovechamiento permisible|||||
Pargo raicero||Lutjanus aratus|Peces óseos|Perciformes|Lutjanidae|0|0|1|0|Pargos||1|0|0|0|0||||||||||||||||||||||||||
Pargo amarillo|Yellow Snapper|Lutjanus argentiventris|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|Cartel |Tríptico  |20-70|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Los adultos viven en zonas arrecifales y los juveniles en manglares. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne. ||Sin datos|Sin datos|Sin datos||||||||
