Nombre común |Nombre Ingles |Nombre científico |Clase|Orden |Familia|Golfo de México|Mar Caribe|Pacífico |Fuera del país |Grupo |Nacional/Importado |Objetivo |incidental |Deportiva |Fomento |Cultivada|Cartel |Tríptico |Tallas de captura (cm)|Tipo de captura (Selectiva, No selectiva |Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades |Distribución |Cultivada / capturada|Comercio|País de importación |Carta Nacional Pesquera (2012) Pacífico zona 1|Carta Nacional Pesquera (2012) Pacífico zona 2|Carta Nacional Pesquera (2012) Pacífico zona 3 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 1 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 2 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 3 |Estado según Arreguín et al. Litoral Oriental del Golfo de California |Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec |Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche
Tiburón limón|Lemon Shark|Negaprion brevirostris|Chondrichthyes|Carcharhiniformes|Carcharhinidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|||100-340|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores, palangre para tiburón oceánico y pez espada.|Casi amenazada|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros. Vive en estuarios y fondos arenosos o fangosos.  Se alimenta de peces y crustaceos.|Su distribución es mundial, se encuentra en el Océano Atlántico y Pacífico.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Tiburón azul |Blue Shark|Prionace glauca|Chondrichthyes|Carcharhiniformes|Carcharhinidae|0|0|1|0|Tiburones|Nacional|1|0|0|0|0|||150-400|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores, palangre para tiburón oceánico y pez espada.|Casi amenazada|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina, de hábitos oceánicos y aguas profundas.  Se alimenta de peces, tortugas, manta rayas, aves, calamares y de mamíferos muertos.  |Se distribuye casi en todos los mares.|Capturada|Se utiliza la carne, aceite de hígado, piel, el aleteo está prohibido.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Chucumite |Smallscale Fat|Centropomus parallelus|Actinopterygii|Perciformes|Centropomidae|1|0|0|0|Robalo|Nacional|1|0|0|0|0|||20-70|No selectiva|Redes de enmalle.||||Temporal fija|(Golfo de México) del 15 de mayo al 15 de agosto).|Especie marina de hábitos costeros. Vice en zonas estuarinas y lagunas costeras. Se alimenta de peces y crustáceos. |Se distribuye en el Atlántico occidental, desde el sur de Florida hasta Brasil.|Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||
Robalo espina larga||Centropomus armatus|Peces óseos|Perciformes|Centropomidae|0|0|1|0|Robalo||1|0|0|0|0||||||||||||||||||||||Sin datos|Sin datos|Sin datos||
Robalo aleta prieta|Blackfin Snook|Centropomus medius|Actinopterygii|Perciformes|Centropomidae|0|0|1|0|Robalo|Nacional|1|0|0|0|0|Cartel |Tríptico  |30-65|Selectiva|Línea de mano para peces pelágicos y demersales, curricán para pesca de especies pelágicas.||||||Especie marina de hábitos costeros. Vive en zonas estuarinas, manglares, bahías y en las boca de los ríos. Se alimenta de peces y crustáceos.|Se distribuye en el Pacífico Oriental, desde Baja California a Colombia.|Capturada|Se utiliza la carne. ||||||||||||
Robalo prieto |Black Snook|Centropomus nigrescens|Actinopterygii|Perciformes|Centropomidae|0|0|1|0|Robalo|Nacional|1|0|0|0|0|Cartel |Tríptico  |45-120|Selectiva|Línea de mano para peces pelágicos y demersales, curricán para pesca de especies pelágicas.||||||Especie marina de hábitos costeros. Vive en zonas estuarinas, manglares, bahías y en las boca de los ríos. Se alimenta de peces y crustáceos.|Se distribuye en el Pacífico Oriental, desde Baja California a Ecuador.|Capturada|Se utiliza la carne. ||||||||||||
Robalo prieto|Mexican Snook|Centropomus poeyi|Actinopterygii|Perciformes|Centropomidae|1|0|0|0|Robalo|Nacional|1|0|0|0|0|||40-90|No selectiva|Redes de enmalle.||||Temporal fija|(Golfo de México) del 15 de mayo al 15 de agosto).|Especie marina de hábitos costeros. Vice en zonas estuarinas y lagunas costeras. Se alimenta de peces y crustáceos. |Se distribuye en el Atlántico central y Golfo de México. |Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||
Robalo aleta amarilla|Yellowfin Snook|Centropomus robalito|Actinopterygii|Perciformes|Centropomidae|0|0|1|0|Robalo|Nacional|1|0|0|0|0|Cartel |Tríptico  |25-35|Selectiva|Línea de mano para peces pelágicos y demersales, curricán para pesca de especies pelágicas.||||||Especie marina de hábitos costeros. Vive en zonas estuarinas, manglares, bahías y en las boca de los ríos. Se alimenta de peces y crustáceos.|Se distribuye en el Pacífico Oriental, desde Baja California a Ecuador.|Capturada|Se utiliza la carne. ||||||||Sin datos|Sin datos|Sin datos||
Robalo blanco|Common Snook|Centropomus undecimalis|Actinopterygii|Perciformes|Centropomidae|1|0|0|0|Robalo|Nacional|1|0|0|0|0|Cartel |Tríptico  |50-96|No selectiva|Redes de enmalle.||||Temporal fija|(Golfo de México) del 15 de mayo al 15 de agosto).|Especie marina de hábitos costeros. Vice en zonas estuarinas y lagunas costeras. Se alimenta de peces y crustáceos.|Se distribuye en el Atlántico occidental, desde el sur de Florida hasta Brasil.|Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||
Robalo plateado ||Centropomus viridis|Peces óseos|Perciformes|Centropomidae|0|0|1|0|Robalo||1|0|0|0|0||||||||||||||||||||||||||
