Nombre común|Nombre Ingles|Nombre científico|Clase|Orden|Familia|Golfo de México|Mar Caribe|Pacífico|Fuera del país|Grupo|Nacional/Importado|Objetivo|incidental|Deportiva|Fomento|Cultivada|Cartel|Tríptico|Tallas de captura (cm)|Tipo de captura (Selectiva, No selectiva|Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades|Distribución|Cultivada / capturada|Comercio|País de importación|Carta Nacional Pesquera (2012) Pacífico zona 1|Carta Nacional Pesquera (2012) Pacífico zona 2|Carta Nacional Pesquera (2012) Pacífico zona 3|Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 1|Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 2|Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 3|Estado según Arreguín et al. Litoral Oriental del Golfo de California|Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec|Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche|Imagen
Huachinango ojo amarillo|Silk Snapper|Lutjanus vivanus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Huachinangos|Nacional|1|0|0|0|0|1|Tríptico|50-83|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de aguas profundas. Se alimenta de peces, crustáceos, moluscos y otros invertebrados.|Se distribuye en el Atlántico occidental, desde Carolina del Norte en Estados Unidos hasta Brasil.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible/ Deterioro|Deterioro|Máximo aprovechamiento permisible||||||LutjanusVivanus.png
Cubera||Lutjanus cyanopterus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Otros||1|0|0|0|0|3|||||Vulnerable|||||||||||||||||||||
Pargo coconaco|Barred Pargo|Hoplopagrus guentherii|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|1|Tríptico|50-90|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en arrecifes rocosos y de coral. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde Baja California a Ecuador.|Capturada|Se utiliza la carne.||Sin datos|Sin datos|Sin datos|||||||||HoplopagrusGuentherii.png
Pargo criollo|Mutton Snapper|Lutjanus analis|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Pargos|Nacional|1|1|0|0|0|1|Tríptico|52-94|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.|Vulnerable|||||Especie marina que vive asociada a arrecifes rocosos y coralinos. Los juveniles viven en praderas de pastos marinos. Se alimenta de peces, crustáceos y moluscos.|Se distribuye en el Atlántico occidental, desde Massachusetts hasta Brasil.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible/ Deterioro|Deterioro|Máximo aprovechamiento permisible||||||LutjanusAnalis.png
Pargo canchix|Schoolmaster|Lutjanus apodus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Pargos|Nacional|1|0|0|0|0|1|Tríptico|26-67|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de aguas poco profundas. Los adultos viven en zonas arrecifales y los juveniles en praderas de pastos marinos. Su alimentación consta de crustáceos, moluscos, gusanos y peces.|Se distribuye en el Atlántico occidental, desde Massachusetts hasta Brasil.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible/ Deterioro|Deterioro|Máximo aprovechamiento permisible||||||LutjanusApodus.png
Pargo raicero||Lutjanus aratus|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos||1|0|0|0|0|3||||||||||||||||||||||||||
Pargo amarillo|Yellow Snapper|Lutjanus argentiventris|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|1|Tríptico|20-70|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Los adultos viven en zonas arrecifales y los juveniles en manglares. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne.||Sin datos|Sin datos|Sin datos|||||||||LutjanusArgentiventris.png
Pargo colorado|Colorado Snapper|Lutjanus colorado|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|1|Tríptico|35-70|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en zonas arrecifales y rocosas. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Ecuador.|Capturada|Se utiliza la carne.||Sin datos|Sin datos|Sin datos|||||||||LutjanusColorado.png
Pargo mulato|Gray Snapper|Lutjanus griseus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Pargos|Nacional|1|1|0|0|0|1|Tríptico|32-89|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina que vive en arrecifes, zonas rocosas, estuarios y manglares. Los juveniles viven en las bocas de los ríos. Se alimenta de pequeños peces, crustáceos y moluscos.|Se distribuye en el Atlántico occidental, desde Massachusetts hasta Brasil.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible/ Deterioro|Deterioro|Máximo aprovechamiento permisible||||||LutjanusGriseus.png
Pargo lunarejo|Spotted Rose|Lutjanus guttatus|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|1|Tríptico|35-80|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive en zonas arrecifales y rocosas. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne.||Sin datos|Sin datos|Sin datos|||||||||LutjanusGuttatus.png
Pargo caballera||Lutjanus jocu|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Pargos||1|1|0|0|0|3||||||||||||||||||||||||||
Pargo rojo||Lutjanus jordani|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos||1|0|0|0|0|3|||||||||||||||||||||máximo aprovechamiento|sobre pesca|sobre pesca|||
Pargo mulato|Pacific Dog Snapper|Lutjanus novemfasciatus|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|1|Tríptico|40-170|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive fondos rocosos y arrecifales. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne.||Sin datos|Sin datos|Sin datos|||||||||LutjanusNovemfasciatus.png
Pargo rojo||Lutjanus purpureus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Pargos||1|0|0|0|0|3||||||||||||||||||||||||||
Pargo azul-dorado|Blue and Gold snapper|Lutjanus viridis|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Pargos|Nacional|1|0|0|0|0|1|Tríptico|15-30|No selectiva|Redes de arrastre, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina de hábitos costeros. Vive asociada a fondos rocosos y arrecifales. Se alimenta de peces e invertebrados.|Se distribuye en el Pacífico Oriental, desde Baja California a Ecuador.|Capturada|Se utiliza la carne.||Sin datos|Sin datos|Sin datos|||||||||LutjanusViridis.png
Pargo rabirrubia||Lutjanus inermis|Actinopterygii|Perciformes|Lutjanidae|0|0|1|0|Rubia-Villajaiba||1|0|0|0|0|3||||||||||||||||||||||||||
Pargo biajaiba||Lutjanus synagris|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Rubia-Villajaiba||1|1|0|0|0|3||||||||||||||||||||||||||
Rubia|Yellowtail Snapper|Ocyurus chrysurus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|Rubia-Villajaiba|Nacional|1|1|0|0|0|1|Tríptico|29-86|No selectiva|Chinchorro playero, red agallera para escama de fondo, red agallera para esteros y línea de costa.||||||Especie marina que vive en zonas arrecifales. Se alimenta de plancton, animales bentónicos y peces.|Se distribuye en el Atlántico occidental, desde Massachusetts hasta Brasil.|Capturada|Se utiliza la carne.|||||Máximo aprovechamiento permisible/ Deterioro|Deterioro|Máximo aprovechamiento permisible||||||OcyurusChrysurus.png
Lamparita||Apsilus dentatus|Actinopterygii|Perciformes|Lutjanidae|1|1|0|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Conejo amarillo||Lopholatilus chamaeleonticeps|Actinopterygii|Perciformes|Malacanthidae|1|1|0|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Conejo||Caulolatilus affinis|Actinopterygii|Perciformes|Malacanthidae|0|0|1|0|Piernas||1|0|0|0|0|3|||||||||||||||||||||sin datos|sin datos|sin datos|||
Pierna|Ocean Whitefish|Caulolatilus princeps|Actinopterygii|Perciformes|Malacanthidae|0|0|1|0|Piernas|Nacional|1|0|0|0|0|1|Tríptico|30-100|No selectiva|Chinchorro playero, red agallera, red de arrastre.||||||Especie marina que vive en los arrecifes y en zonas de fondo rocoso.|Se distribuye en el Pacífico Oriental desde Canadá hasta Perú.|Capturada|Se utiliza la carne.||Sin datos|Sin datos|Sin datos|||||||||CaulolatilusPrinceps.png
Blanquillo ojo amarillo||Caulolatilus chrysops|Actinopterygii|Perciformes|Malacanthidae|1|1|0|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Blanquillo payaso||Caulolatilus intermedius|Actinopterygii|Perciformes|Malacanthidae|1|1|0|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Blanquillo lucio||Caulolatilus microps|Actinopterygii|Perciformes|Malacanthidae|1|1|0|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Merluza|European hake|Merluccius spp.|Actinopterygii|Gadiformes|Merlucciidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|2||30-60|No selectiva|Redes de arrastre, redes de cerco danesas y palangres.||||||Especie marina. Vive cerca de los fondos a profundidades que van de los 70 a 1000 metros. Se alimenta principalmente de peces pequeños y calamares.|Se distribuye en la costa atlántica de Europa y al oeste de África del Norte, Mar Mediterráneo y en la costa sur del Mar Negro.|Capturada|Congelado.|España.||||||||||||Merluccius spp..png
Merluza norteña||Merluccius productus|Actinopterygii|Gadiformes|Merlucciidae|0|0|1|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Lija garrapatera||Aluterus scriptus|Actinopterygii|Tetraodontiformes|Monocanthidae|0|0|1|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Lubina|European seabass|Dicentrarchus spp.|Actinopterygii|Perciformes|Moronidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|2||50-100|No selectiva|Redes de arrastre de fondo, redes de playa, anzuelos y líneas.||||||Especie marina de aguas costeras. Vive en estuarios y en las bocas de los ríos. Se alimenta de peces pequeños e invertebrados.|Se distribuye en el Atlántico Norte. Noruega, Islas Británicas, Mar Mediterráneo, Mar Negro y sur de Senegal.|Capturada|Congelado.|España, Nicaragua||||||||||||Dicentrarchus spp..png
Lisa blanca|White Mullet|Mugil curema|Actinopterygii|Mugiliformes|Mugilidae|1|0|1|0|Lebranchas|Nacional|1|0|0|0|0|1|Tríptico|24-90|Selectiva|Red agallera para lisa y liseta o lebrancha.||||Temporal fija|(Pacífico) Del 1 de abril al 15 de julio. (Golfo de México) del 1 de diciembre al 28 de febrero.|Especie marina de aguas poco profundas. Vive en fondos arenosos y en zonas de arrecife. Se alimenta de algas y organismos planctónicos.|Se distribuye en todo el Atlántico y Pacífico.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Desconocida|Desconocida|sin datos|máximo aprovechamiento|sobre pesca|||MugilCurema.png
Lisa rayada|Striped Mullet|Mugil cephalus|Actinopterygii|Mugiliformes|Mugilidae|1|0|1|0|Lisas|Nacional|1|0|0|0|0|1|Tríptico|30-90|Selectiva|Red agallera para lisa y liseta o lebrancha.||||Temporal fija|(Pacífico) 1 de noviembre al 31 de diciembre. (Golfo de México) del 1 de diciembre al  28 de febrero.|Especie marina que vive en las bocas de los ríos y estuarios con fondos arenosos y fangosos. Se alimenta de microalgas, pequeños organismos bentónicos, zooplancton y detritus.|Su distribución es cosmopolita en todos los mares de temperaturas tropicales.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible/ Deterioro|Desconocida|Desconocida|sobre pesca|sobre pesca|colapso|||MugilCephalus.png
Lisa hospe||Mugil hospes|Actinopterygii|Mugiliformes|Mugilidae|0|0|1|0|Lisas||1|0|0|0|0|3|||||||||||||||||||||sobre pesca|sobre pesca|colapso|||
Chivo||Pseudupeneus grandisquamis|Actinopterygii|Perciformes|Mullidae|0|0|1|0|Otros||0|1|0|0|0|3|||||||||||||||||||||sin datos|sin datos|sin datos|||
Chivo||Upeneus parvus|Actinopterygii|Perciformes|Mullidae|1|0|0|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Chucho pintado|Spotted Eagle|Aetobatus narinari|Chondrichthyes|Rajiformes|Myliobatidae|1|0|1|0|Chondrichthyes|Nacional|1|1|0|0|0|3||100-150|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.|Casi amenazada|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros. Vive asociado a manglares, praderas de pastos marinos, praderas de algas, arrecifes de coral y fondos arenosos y fangosos. Se alimenta de crustáceos y moluscos.|Se distribuye en todo el Atlántico y Pacífico.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|sin datos||||||
Manta voladora|Giant manta|Manta birostris|Chondrichthyes|Rajiformes|Myliobatidae|0|0|0|0|Chondrichthyes|Nacional|0|0|0|0|0|3|||||Vulnerable|Apéndice II||Permanente|Todo el año|Especie marina de aguas poco profundas. Vive cerca de la costa y ligada a arrecifes. Se alimenta de plancton y peces pequeños.|Se distribuye en todos los mares tropicales.|Capturada|Prohibido||sin datos|sin datos|sin datos|sin datos|sin datos|sin datos||||||
Manta del Golfo||Mobula hypostoma|Chondrichthyes|Rajiformes|Myliobatidae|1|1|0|0|Chondrichthyes||1|0|0|0|0|3||||||||Permanente|Todo el año|||||||||||||||||
Manta arpón||Mobula japanica|Chondrichthyes|Rajiformes|Myliobatidae|0|0|1|0|Chondrichthyes||1|0|0|0|0|3|||||Casi amenazada|||Permanente|Todo el año|||||||||||||||||
Manta chica||Mobula munkiana|Chondrichthyes|Rajiformes|Myliobatidae|0|0|1|0|Chondrichthyes||1|0|0|0|0|3|||||Casi amenazada|||Permanente|Todo el año|||||||||||||||||
Manta cornuda||Mobula tarapacana|Chondrichthyes|Rajiformes|Myliobatidae|0|0|1|0|Chondrichthyes||1|0|0|0|0|3||||||||Permanente|Todo el año|||||||||||||||||
Manta cubana||Mobula thurstoni|Chondrichthyes|Rajiformes|Myliobatidae|0|0|1|0|Chondrichthyes||1|0|0|0|0|3|||||Casi amenazada|||Permanente|Todo el año|||||||||||||||||
||Mobula lucasana|||||||||||||||3||||||||Permanente|Todo el año|||||||||||||||||
Gavilan||Myliobatis californica|Chondrichthyes|Rajiformes|Myliobatidae|0|0|1|0|Chondrichthyes||1|0|0|0|0|3||||||||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|||||||||||||||||
Pejechucho||Myliobatis goodei|Chondrichthyes|Rajiformes|Myliobatidae|1|1|0|0|Chondrichthyes||1|0|0|0|0|3||||||||||||||||||||||||||
Raya águila||Myliobatis longirostris|Chondrichthyes|Rajiformes|Myliobatidae|0|0|1|0|Chondrichthyes||1|0|0|0|0|3|||||Casi amenazada|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|||||||||||||||||
Manta cubanita||Rhinoptera bonasus|Chondrichthyes|Rajiformes|Myliobatidae|1|0|0|0|Chondrichthyes||1|0|0|0|0|3|||||Casi amenazada|||||||||||||||||||||
Manta común||Rhinoptera brasiliensis|Chondrichthyes|Rajiformes|Myliobatidae|1|0|0|0|Chondrichthyes||1|0|0|0|0|3|||||En peligro|||||||||||||||||||||
Tecolote|Golden Cownose Ray|Rhinoptera steindachneri|Chondrichthyes|Rajiformes|Myliobatidae|0|0|1|0|Chondrichthyes|Nacional|1|0|0|0|0|1|Tríptico|38-90|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.|Casi amenazada|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros y poco profundos. Vive en fondos arenosos y cerca de los arrecifes rocosos y coralinos. Se alimenta de moluscos y crustáceos.|Se distribuye en el Pacífico Oriental, desde Baja California a Perú.|Capturada|Se utiliza la carne.||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||||||RhinopteraSteindachneri.png
Raya eléctrica||Narcine brasiliensis|Chondrichthyes|Torpediniformes|Narcinidae|1|0|0|0|Chondrichthyes||1|0|0|0|0|3||||||||||||||||||||||||||
Guitarra electrica||Narcine entemedor|Chondrichthyes|Torpediniformes|Narcinidae|0|0|1|0|Chondrichthyes||1|0|0|0|0|3||||||||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|||||||||||||||||
Papagallo|Roosterfish|Nematistius pectoralis|Actinopterygii|Perciformes|Nematistiidae|0|0|1|0|Papagallos|Nacional|0|0|1|0|0|3||60-160|Selectiva|Pesca con caña.||||Permanente  (solo pesca deportiva)|Todo el año|Especie marina de hábitos oceánicos y a veces costeros. Se alimenta de peces, crustáceos y calamares.|Se distribuye en el Pacífico Oriental, desde el sur de California hasta Perú.|Capturada|Se utiliza la carne.||Sin datos|Sin datos|Sin datos|||||||||
Austromerluza negra|Patagonian Toothfish|Dissostichus eleginoides|Actinopterygii|Perciformes|Nototheniidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|3||70-200|No selectiva|Redes de arrastre de fondo.||||||Especie marina que vive en profundidades que van de los 70 a 1,500 metros. Se alimenta de peces y cefalópodos.|Se distribuye en el mar Antártico.|Capturada|Congelado, filetes.|Estados Unidos.||||||||||||
Lairón||Ophichthus rex|Actinopterygii|Anguilliformes|Ophichthidae|1|1|0|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Lengua||Brotula barbata|Actinopterygii|Ophidiiformes|Ophidiidae|1|1|0|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Lengua||Brotula clarki|Actinopterygii|Ophidiiformes|Ophidiidae|0|0|1|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Torito||Acanthostracion quadricornis|Actinopterygii|Tetraodontiformes|Ostraciidae|1|1|0|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Basa/ oriental|Striped Catfish|Pangasius hypophthalmus|Actinopterygii|Siluriformes|Pangasiidae|0|0|0|1|Peces importados|Importado|0|0|0|0|1|3|||||En peligro|||||Especie de agua dulce que vive en ríos. Se alimenta de algas, zooplancton e insectos.|Se distribuye en Viet Nam y Tailandia.|Cultivada||||||||||||||
Lenguado alón||Citharichthys xanthostigma|Actinopterygii|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados||0|1|0|0|0|3||||||||||||||||||||||||||
Lengado bocón|Bigmouth Sole|Hippoglossina stomata|Actinopterygii|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados|Nacional|1|0|0|0|0|1|Tríptico|35-40|No selectiva|Redes de arrastre.||||||Especie marina de hábitos bentónicos y costeros. Vive enterrada en la arena. Se alimenta de pequeños crustáceos que viven en la arena.|Se distribuye en el Pacífico Oriental, desde California hasta el Golfo de California.|Capturada|Se utiliza la carne.||||||||máximo aprovechamiento|colapso|sobre pesca|||HippoglossinaStomata.png
Lenguado cuatro ojos||Hippoglossina tetropthalmus|Actinopterygii|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados||1|0|0|0|0|3|||||||||||||||||||||máximo aprovechamiento|colapso|sobre pesca|||
Lenguado de Cortés||Paralichthys aestuarius|Actinopterygii|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados||1|0|0|0|0|3|||||||||||||||||||||máximo aprovechamiento|colapso|sobre pesca|||
Lenguado californiano||Paralichthys californicus|Actinopterygii|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados||1|0|0|0|0|3|||||||||||||||||||||máximo aprovechamiento|colapso|sobre pesca|||
Lenguado huarache||Paralichthys woolmani|Actinopterygii|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados||1|0|0|0|0|3|||||||||||||||||||||máximo aprovechamiento|colapso|sobre pesca|||
Lenguado arenoso||Syacium gunteri|Actinopterygii|Pleuronectiformes|Paralichthydae|1|0|0|0|Lenguados||0|1|0|0|0|3||||||||||||||||||||||||||
Lenguado cola de abanico|Fantail Sole|Xystreurys liolepis|Actinopterygii|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados|Nacional|1|0|0|0|0|1|Tríptico|20-63|No selectiva|Redes de arrastre.||||||Especie marina costera. Vive en fondos arenosos y fangosos. Se alimente de crustáceos.|Se distribuye en el Pacífico Oriental, desde California hasta el Golfo de California.|Capturada|Se utiliza la carne.||||||||máximo aprovechamiento|colapso|sobre pesca|||
Lenguado panza blanca||Paralichthys albigutta|Actinopterygii|Pleuronectiformes|Paralichthydae|1|1|0|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Merluza||Urophycis spp.|Actinopterygii|Gadiformes|Phycidae|0|0|0|1|Peces importados||0|0|0|0|0|3|||||||||||||Congelado.|Canada, Peru, España.||||||||||||
Lenguado tres ojos|Threespot Sand Flounder|Ancylopsetta dendritica|Actinopterygii|Pleuronectiformes|Paralichthydae|0|0|1|0|Lenguados||0|1|0|0|0|3|||||||||||||||||||||máximo aprovechamiento|colapso|sobre pesca|||
Fletán del Pacífico|Fletán|Hippoglossus stenolepis|Actinopterygii|Pleuronectiformes|Pleuronectidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|3||140-250|No Selectiva|Pesca de arrastre y pesca con palangre demersal.|En peligro crítico|||||Especie de agua salada. Vive en aguas profundas con fondos arenosos y fangosos. Se alimenta de peces moluscos y crustáceos.|Se distribuye en el Pacífico Norte, desde Japón, Mar de Bering, Alaska y California.|Capturada|Fresco.|||||||||||||
Fletán negro|Fletán Negro|Reinhardtius hippoglossoides|Actinopterygii|Pleuronectiformes|Pleuronectidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|3||50-80|No Selectiva|Pesca de arrastre y pesca con palangre demersal.||||||Especie de agua salada que vive a profundidades de 500 a 1000 metros en fondos blandos y arenosos. Se alimenta de peces.|Se distribuye en ambos océanos, desde Inglaterra, Noruega, Islandia y Groenlandia en el Atlántico oriental. En la parte del Pacífico se distribuye desde Japón hasta las costas del California.|Capturada|Fresco.|||||||||||||
Lenguado diamante||Hypsopsetta guttulata|Actinopterygii|Pleuronectiformes|Pleuronectidae|0|0|1|0|Lenguados||1|0|0|0|0|3|||||||||||||||||||||máximo aprovechamiento|colapso|sobre pesca|||
Lengado resbaloso||Microstomus pacificus|Actinopterygii|Pleuronectiformes|Pleuronectidae|0|0|1|0|Lenguados||1|0|0|0|0|3|||||||||||||||||||||máximo aprovechamiento|colapso|sobre pesca|||
Barbudo de seis barbas||Polydactylus approximans|Actinopterygii|Perciformes|Polynemidae|0|0|1|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Ratón||Polydactylus octonemus|Actinopterygii|Perciformes|Polynemidae|1|1|0|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Pescara||Stereolepis gigas|Actinopterygii|Perciformes|Polyprionidae|0|0|1|0|Otros||0|1|0|0|0|3|||||Casi amenazada|||||||||||||||||||||
Gallineta café||Pomacanthus arcuatus|Actinopterygii|Perciformes|Pomacanthidae|1|1|0|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Gallineta negra||Pomacanthus paru|Actinopterygii|Perciformes|Pomacanthidae|1|1|0|0|||0|1|0|0|0|3||||||||||||||||||||||||||
Ojón||Priacanthus arenatus|Actinopterygii|Perciformes|Priacanthidae|1|1|0|0|Otros||0|1|0|0|0|3||||||||||||||||||||||||||
Cobia|Cobia|Rachycentrum canadum|Actinopterygii|Perciformes|Rachycentridae|0|0|0|1|Peces importados||0|0|0|0|1|3||||||||||Especie marina pelágica. Se alimenta de peces, calamaras, camarones y cangrejos.|Se distribuye casi en todos los mares acepto el Pacífico Central y Oriental.|Cultivada|Congelado.|Estados Unidos, Canada.||||||||||||
Raya de california||Raja inornata|Chondrichthyes|Rajiformes|Rajidae|0|0|1|0|Chondrichthyes||0|1|0|0|0|3||||||||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|||||||||||||||||
Raya||Raja texana|Chondrichthyes|Rajiformes|Rajidae|1|0|0|0|Chondrichthyes||1|0|0|0|0|3||||||||||||||||||||||||||
Raya chillona||Raja velezi|Chondrichthyes|Rajiformes|Rajidae|0|0|1|0|Chondrichthyes||1|0|0|0|0|3||||||||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|||||||||||||||||
Payaso pinto||Rhinobatos glaucostigma|Chondrichthyes|Rajiformes|Rhinobatidae|0|0|1|0|Chondrichthyes||1|0|0|0|0|3||||||||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|||||||||||||||||
Guitarra viola||Rhinobatos productus|Chondrichthyes|Rajiformes|Rhinobatidae|0|0|1|0|Chondrichthyes||1|0|0|0|0|3|||||Casi amenazada|||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|||||||||||||||||
Pez diablo||Rhinobatus lentiginosus|Chondrichthyes|Rajiformes|Rhinobatidae|1|0|0|0|Chondrichthyes||1|0|0|0|0|3||||||||||||||||||||||||||
Guitarra rayada||Zapterix exasperata|Chondrichthyes|Rajiformes|Rhinobatidae|0|0|1|0|Chondrichthyes||1|0|0|0|0|3||||||||Temporal fija|(Pacífico) del 1 de mayo al 31 de julio.|||||||||||||||||
Salmón del Danubio|Huchen|Hucho hucho|Actinopterygii|Salmoniformes|Salmonidae|0|0|0|1|Peces importados|Importado|0|0|0|0|1|3|||No selectiva||En peligro|||||Especie de agua dulce. Vive en los causes de los ríos, en especial el Danubio. Se alimenta de peces, amfibios y pequeños reptiles.|Se distribuye en Europa, principalmente en el Río Danubio|Captura y cultivada|Fresco, congelado y ahumado.|||||||||||||
Salmón rosado|Pink Salmo|Oncorhynchus gorbuscha|Actinopterygii|Salmoniformes|Salmonidae|0|0|0|1|Peces importados|Importado|0|0|0|0|0|3||40-75|No Selectiva|Red de enmalle y red de arrastre.||||||Especie de agua dulce y marina. Vive en zonas costeras y en los ríos en épocas de desove. Se alimenta de calamares, peces y plancton.|Se distribuye en el Pacífico norte, desde el norte de California, Alaska, Canadá y Norte de Japón.|Capturada|Fresco, ahumado.|||||||||||||
Salmón chum|Chum Salmo|Oncorhynchus keta|Actinopterygii|Salmoniformes|Salmonidae|0|0|0|1|Peces importados||0|0|0|0|0|3|||No selectiva|||||||Especie de agua dulce y marina. Vive cerca de la costa y hace migraciones a los ríos en epocas de desove.|Se distribuye en el Pacífico norte, desde el norte de California, Alaska, Canada y Norte de Japón.|Capturada|Fresco, ahumado.|||||||||||||
